Filename852-delno	Pade v menu	CategoryTag	Tag1	Področje	Tag3	Podlaga	Tehnika	Tag6	Tag7	Tag8	Tag9
posredovanje podatkov policiji2.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP			policija			
posredovanje rezultatov laboratorijskih testov pri MDPµ delodajalcu.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje seznama nekdanjih uƒencev.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje upravljavca pri pridobivanju priviolitev.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
Poziv za dopolnitev_Mateja_20180604.odt	IP RS | Mnenja IP	Mnenje IP									
poτiljanje e-poτte strankam_Neja.odt	IP RS | Mnenja IP	Mnenje IP									
poτiljanje jedilnikov gostom.odt	IP RS | Mnenja IP	Mnenje IP									
poτiljanje ZD zunanjim uporabnikom.odt	IP RS | Mnenja IP	Mnenje IP									
poτta in OP, napotitev,28.6.2018.odt	IP RS | Mnenja IP	Mnenje IP	pošta								
poτta in OP, napotitev,29.5.2018.odt	IP RS | Mnenja IP	Mnenje IP	pošta								
poτta in OP, napotitev,29.6.2018.odt	IP RS | Mnenja IP	Mnenje IP	pošta								
poτta slovenije in obdelava osebnih podatkov.odt	IP RS | Mnenja IP	Mnenje IP	pošta								
poτta slovenije in obdelava osebnih podatkov2.odt	IP RS | Mnenja IP	Mnenje IP	pošta								
pravica do izbrisa_15062018.odt	IP RS | Mnenja IP	Mnenje IP							pravica do izbrisa		
pravica do izbrisa_21062018.odt	IP RS | Mnenja IP	Mnenje IP							pravica do izbrisa		
pravice in dolºnosti pogodbenega obdelovalca_28.5.18.odt	IP RS | Mnenja IP	Mnenje IP						obdelovalec			
pravna podlaga za poτiljanje elektronskih sporoƒil.odt	IP RS | Mnenja IP	Mnenje IP			elektronska pošta			pravni temelj			
pravne podlage po GDPR objava fotografij v internem glasilu.odt	IP RS | Mnenja IP	Mnenje IP	GDPR		fotografija			pravni temelj			
prekinitev pogodbe z zavarovalnico.odt	IP RS | Mnenja IP	Mnenje IP						zavarovalnica			
